sku,event_name,event_type,start_date,end_date,discount_percent,expected_lift_percent,status
EL-001,Q4 Holiday Campaign - EL-001,holiday,2026-10-15,2026-12-31,27.39,53.71,planned
EL-001,Black Friday Sale - EL-001,flash_sale,2026-11-23,2026-11-27,46.27,99.22,planned
EL-002,Black Friday Sale - EL-002,flash_sale,2026-11-23,2026-11-27,44.87,53.64,planned
AP-001,Black Friday Sale - AP-001,flash_sale,2026-11-23,2026-11-27,47.93,94.69,planned
FB-001,Black Friday Sale - FB-001,flash_sale,2026-11-23,2026-11-27,48.3,83.76,planned
EL-1000,Black Friday Sale - EL-1000,flash_sale,2026-11-23,2026-11-27,38.05,98.02,planned
EL-1001,Q4 Holiday Campaign - EL-1001,holiday,2026-10-15,2026-12-31,32.67,52.44,planned
EL-1002,Black Friday Sale - EL-1002,flash_sale,2026-11-23,2026-11-27,31.37,50.59,planned
EL-1003,Q4 Holiday Campaign - EL-1003,holiday,2026-10-15,2026-12-31,31.32,54.34,planned
EL-1003,Black Friday Sale - EL-1003,flash_sale,2026-11-23,2026-11-27,49.11,55.99,planned
EL-1004,Q4 Holiday Campaign - EL-1004,holiday,2026-10-15,2026-12-31,20.9,59.36,planned
EL-1004,Black Friday Sale - EL-1004,flash_sale,2026-11-23,2026-11-27,37.67,59.81,planned
EL-1005,Black Friday Sale - EL-1005,flash_sale,2026-11-23,2026-11-27,44.97,96.71,planned
EL-1006,Black Friday Sale - EL-1006,flash_sale,2026-11-23,2026-11-27,30.6,61.36,planned
EL-1008,Q4 Holiday Campaign - EL-1008,holiday,2026-10-15,2026-12-31,39.85,41.72,planned
EL-1009,Black Friday Sale - EL-1009,flash_sale,2026-11-23,2026-11-27,38.23,85.22,planned
EL-1011,Q4 Holiday Campaign - EL-1011,holiday,2026-10-15,2026-12-31,19.08,29.5,planned
EL-1011,Black Friday Sale - EL-1011,flash_sale,2026-11-23,2026-11-27,39.96,60.3,planned
EL-1012,Q4 Holiday Campaign - EL-1012,holiday,2026-10-15,2026-12-31,37.74,44.64,planned
EL-1012,Black Friday Sale - EL-1012,flash_sale,2026-11-23,2026-11-27,30.09,86.36,planned
EL-1013,Black Friday Sale - EL-1013,flash_sale,2026-11-23,2026-11-27,34.95,90.93,planned
EL-1014,Black Friday Sale - EL-1014,flash_sale,2026-11-23,2026-11-27,36.02,57.07,planned
