sku,date,units_sold,revenue,promotion_flag,stockout_flag
EL-001,2023-06-01,674,101093.26,0,0
EL-001,2023-07-01,648,97193.52,0,0
EL-001,2023-08-01,591,88644.09,0,0
EL-001,2023-09-01,569,85344.31,0,0
EL-001,2023-10-01,611,91643.89,1,0
EL-001,2023-11-01,387,58046.13,0,0
EL-001,2023-12-01,371,55646.29,0,0
EL-001,2024-01-01,423,63445.77,0,0
EL-001,2024-02-01,200,29998,0,1
EL-001,2024-03-01,602,90293.98,0,0
EL-001,2024-04-01,725,108742.75,0,0
EL-001,2024-05-01,794,119092.06,0,0
EL-001,2024-06-01,778,116692.22,0,0
EL-001,2024-07-01,764,114592.36,0,0
EL-001,2024-08-01,727,109042.73,0,0
EL-001,2024-09-01,627,94043.73,0,0
EL-001,2024-10-01,606,90893.94,0,0
EL-001,2024-11-01,494,74095.06,0,0
EL-001,2024-12-01,473,70945.27,0,0
EL-001,2025-01-01,507,76044.93,0,0
EL-001,2025-02-01,624,93593.76,0,0
EL-001,2025-03-01,682,102293.18,0,0
EL-001,2025-04-01,815,122241.85,0,0
EL-001,2025-05-01,1213,181937.87,1,0
EL-001,2025-06-01,907,136040.93,0,0
EL-001,2025-07-01,820,122991.8,0,0
EL-001,2025-08-01,819,122841.81,0,0
EL-001,2025-09-01,727,109042.73,0,0
EL-001,2025-10-01,700,104993,0,0
EL-001,2025-11-01,576,86394.24,0,0
EL-001,2025-12-01,578,86694.22,0,0
EL-001,2026-01-01,587,88044.13,0,0
EL-001,2026-02-01,892,133791.08,1,0
EL-001,2026-03-01,821,123141.79,0,0
EL-001,2026-04-01,913,136940.87,0,0
EL-001,2026-05-01,1006,150889.94,0,0
EL-001,2026-06-01,959,143840.41,0,0
EL-002,2023-06-01,718,215392.82,0,0
EL-002,2023-07-01,615,184493.85,0,0
EL-002,2023-08-01,606,181793.94,0,0
EL-002,2023-09-01,583,174894.17,0,0
EL-002,2023-10-01,467,140095.33,0,0
EL-002,2023-11-01,381,114296.19,0,0
EL-002,2023-12-01,511,153294.89,1,0
EL-002,2024-01-01,404,121195.96,0,0
EL-002,2024-02-01,548,164394.52,0,0
EL-002,2024-03-01,640,191993.6,0,0
EL-002,2024-04-01,679,203693.21,0,0
EL-002,2024-05-01,763,228892.37,0,0
EL-002,2024-06-01,1193,357888.07,1,0
EL-002,2024-07-01,761,228292.39,0,0
EL-002,2024-08-01,715,214492.85,0,0
EL-002,2024-09-01,978,293390.22,1,0
EL-002,2024-10-01,234,70197.66,0,1
EL-002,2024-11-01,506,151794.94,0,0
EL-002,2024-12-01,474,142195.26,0,0
EL-002,2025-01-01,480,143995.2,0,0
EL-002,2025-02-01,606,181793.94,0,0
EL-002,2025-03-01,698,209393.02,0,0
EL-002,2025-04-01,802,240591.98,0,0
EL-002,2025-05-01,886,265791.14,0,0
EL-002,2025-06-01,1164,349188.36,1,0
EL-002,2025-07-01,1139,341688.61,1,0
EL-002,2025-08-01,797,239092.03,0,0
EL-002,2025-09-01,731,219292.69,0,0
EL-002,2025-10-01,651,195293.49,0,0
EL-002,2025-11-01,560,167994.4,0,0
EL-002,2025-12-01,812,243591.88,1,0
EL-002,2026-01-01,860,257991.4,1,0
EL-002,2026-02-01,700,209993,0,0
EL-002,2026-03-01,798,239392.02,0,0
EL-002,2026-04-01,880,263991.2,0,0
EL-002,2026-05-01,961,288290.39,0,0
EL-002,2026-06-01,1005,301489.95,0,0
EL-003,2023-06-01,710,56792.9,0,0
EL-003,2023-07-01,642,51353.58,0,0
EL-003,2023-08-01,619,49513.81,0,0
EL-003,2023-09-01,539,43114.61,0,0
EL-003,2023-10-01,518,41434.82,0,0
EL-003,2023-11-01,375,29996.25,0,0
EL-003,2023-12-01,362,28956.38,0,0
EL-003,2024-01-01,400,31996,0,0
EL-003,2024-02-01,525,41994.75,0,0
EL-003,2024-03-01,604,48313.96,0,0
EL-003,2024-04-01,730,58392.7,0,0
EL-003,2024-05-01,759,60712.41,0,0
EL-003,2024-06-01,824,65911.76,0,0
EL-003,2024-07-01,713,57032.87,0,0
EL-003,2024-08-01,694,55513.06,0,0
EL-003,2024-09-01,679,54313.21,0,0
EL-003,2024-10-01,569,45514.31,0,0
EL-003,2024-11-01,464,37115.36,0,0
EL-003,2024-12-01,464,37115.36,0,0
EL-003,2025-01-01,502,40154.98,0,0
EL-003,2025-02-01,617,49353.83,0,0
EL-003,2025-03-01,700,55993,0,0
EL-003,2025-04-01,786,62872.14,0,0
EL-003,2025-05-01,883,70631.17,0,0
EL-003,2025-06-01,918,73430.82,0,0
EL-003,2025-07-01,808,64631.92,0,0
EL-003,2025-08-01,817,65351.83,0,0
EL-003,2025-09-01,780,62392.2,0,0
EL-003,2025-10-01,706,56472.94,0,0
EL-003,2025-11-01,693,55433.07,1,0
EL-003,2025-12-01,582,46554.18,0,0
EL-003,2026-01-01,611,48873.89,0,0
EL-003,2026-02-01,1042,83349.58,1,0
EL-003,2026-03-01,776,62072.24,0,0
EL-003,2026-04-01,934,74710.66,0,0
EL-003,2026-05-01,1005,80389.95,0,0
EL-003,2026-06-01,1430,114385.7,1,0
AP-001,2023-06-01,722,86632.78,0,0
AP-001,2023-07-01,669,80273.31,0,0
AP-001,2023-08-01,625,74993.75,0,0
AP-001,2023-09-01,544,65274.56,0,0
AP-001,2023-10-01,712,85432.88,1,0
AP-001,2023-11-01,410,49195.9,0,0
AP-001,2023-12-01,363,43556.37,0,0
AP-001,2024-01-01,418,50155.82,0,0
AP-001,2024-02-01,699,83873.01,1,0
AP-001,2024-03-01,611,73313.89,0,0
AP-001,2024-04-01,704,84472.96,0,0
AP-001,2024-05-01,1159,139068.41,1,0
AP-001,2024-06-01,815,97791.85,0,0
AP-001,2024-07-01,765,91792.35,0,0
AP-001,2024-08-01,715,85792.85,0,0
AP-001,2024-09-01,656,78713.44,0,0
AP-001,2024-10-01,598,71754.02,0,0
AP-001,2024-11-01,458,54955.42,0,0
AP-001,2024-12-01,434,52075.66,0,0
AP-001,2025-01-01,472,56635.28,0,0
AP-001,2025-02-01,614,73673.86,0,0
AP-001,2025-03-01,679,81473.21,0,0
AP-001,2025-04-01,830,99591.7,0,0
AP-001,2025-05-01,1160,139188.4,1,0
AP-001,2025-06-01,856,102711.44,0,0
AP-001,2025-07-01,803,96351.97,0,0
AP-001,2025-08-01,803,96351.97,0,0
AP-001,2025-09-01,722,86632.78,0,0
AP-001,2025-10-01,703,84352.97,0,0
AP-001,2025-11-01,544,65274.56,0,0
AP-001,2025-12-01,574,68874.26,0,0
AP-001,2026-01-01,596,71514.04,0,0
AP-001,2026-02-01,705,84592.95,0,0
AP-001,2026-03-01,797,95632.03,0,0
AP-001,2026-04-01,887,106431.13,0,0
AP-001,2026-05-01,994,119270.06,0,0
AP-001,2026-06-01,997,119630.03,0,0
FB-001,2023-06-01,668,16693.32,0,0
FB-001,2023-07-01,942,23540.58,1,0
FB-001,2023-08-01,624,15593.76,0,0
FB-001,2023-09-01,554,13844.46,0,0
FB-001,2023-10-01,504,12594.96,0,0
FB-001,2023-11-01,489,12220.11,1,0
FB-001,2023-12-01,481,12020.19,1,0
FB-001,2024-01-01,620,15493.8,1,0
FB-001,2024-02-01,528,13194.72,0,0
FB-001,2024-03-01,829,20716.71,1,0
FB-001,2024-04-01,727,18167.73,0,0
FB-001,2024-05-01,800,19992,0,0
FB-001,2024-06-01,772,19292.28,0,0
FB-001,2024-07-01,749,18717.51,0,0
FB-001,2024-08-01,670,16743.3,0,0
FB-001,2024-09-01,631,15768.69,0,0
FB-001,2024-10-01,575,14369.25,0,0
FB-001,2024-11-01,476,11895.24,0,0
FB-001,2024-12-01,664,16593.36,1,0
FB-001,2025-01-01,495,12370.05,0,0
FB-001,2025-02-01,588,14694.12,0,0
FB-001,2025-03-01,708,17692.92,0,0
FB-001,2025-04-01,1124,28088.76,1,0
FB-001,2025-05-01,880,21991.2,0,0
FB-001,2025-06-01,854,21341.46,0,0
FB-001,2025-07-01,825,20616.75,0,0
FB-001,2025-08-01,799,19967.01,0,0
FB-001,2025-09-01,919,22965.81,1,0
FB-001,2025-10-01,685,17118.15,0,0
FB-001,2025-11-01,308,7696.92,1,1
FB-001,2025-12-01,540,13494.6,0,0
FB-001,2026-01-01,572,14294.28,0,0
FB-001,2026-02-01,687,17168.13,0,0
FB-001,2026-03-01,818,20441.82,0,0
FB-001,2026-04-01,897,22416.03,0,0
FB-001,2026-05-01,928,23190.72,0,0
FB-001,2026-06-01,981,24515.19,0,0
EL-1000,2023-06-01,302,18264.96,0,1
EL-1000,2023-07-01,720,43545.6,0,0
EL-1000,2023-08-01,688,41610.24,0,0
EL-1000,2023-09-01,631,38162.88,0,0
EL-1000,2023-10-01,497,30058.56,0,0
EL-1000,2023-11-01,398,24071.04,0,0
EL-1000,2023-12-01,552,33384.96,1,0
EL-1000,2024-01-01,437,26429.76,0,0
EL-1000,2024-02-01,583,35259.84,0,0
EL-1000,2024-03-01,651,39372.48,0,0
EL-1000,2024-04-01,747,45178.56,0,0
EL-1000,2024-05-01,886,53585.28,0,0
EL-1000,2024-06-01,859,51952.32,0,0
EL-1000,2024-07-01,786,47537.28,0,0
EL-1000,2024-08-01,795,48081.6,0,0
EL-1000,2024-09-01,705,42638.4,0,0
EL-1000,2024-10-01,253,15301.44,0,1
EL-1000,2024-11-01,490,29635.2,0,0
EL-1000,2024-12-01,517,31268.16,0,0
EL-1000,2025-01-01,521,31510.08,0,0
EL-1000,2025-02-01,669,40461.12,0,0
EL-1000,2025-03-01,796,48142.08,0,0
EL-1000,2025-04-01,895,54129.6,0,0
EL-1000,2025-05-01,962,58181.76,0,0
EL-1000,2025-06-01,954,57697.92,0,0
EL-1000,2025-07-01,909,54976.32,0,0
EL-1000,2025-08-01,841,50863.68,0,0
EL-1000,2025-09-01,799,48323.52,0,0
EL-1000,2025-10-01,727,43968.96,0,0
EL-1000,2025-11-01,622,37618.56,0,0
EL-1000,2025-12-01,611,36953.28,0,0
EL-1000,2026-01-01,663,40098.24,0,0
EL-1000,2026-02-01,748,45239.04,0,0
EL-1000,2026-03-01,854,51649.92,0,0
EL-1000,2026-04-01,947,57274.56,0,0
EL-1000,2026-05-01,1091,65983.68,0,0
EL-1000,2026-06-01,1507,91143.36,1,0
EL-1001,2023-06-01,748,36966.16,0,0
EL-1001,2023-07-01,693,34248.06,0,0
EL-1001,2023-08-01,670,33111.4,0,0
EL-1001,2023-09-01,633,31282.86,0,0
EL-1001,2023-10-01,536,26489.12,0,0
EL-1001,2023-11-01,444,21942.48,0,0
EL-1001,2023-12-01,615,30393.3,1,0
EL-1001,2024-01-01,401,19817.42,0,0
EL-1001,2024-02-01,566,27971.72,0,0
EL-1001,2024-03-01,673,33259.66,0,0
EL-1001,2024-04-01,766,37855.72,0,0
EL-1001,2024-05-01,824,40722.08,0,0
EL-1001,2024-06-01,887,43835.54,0,0
EL-1001,2024-07-01,810,40030.2,0,0
EL-1001,2024-08-01,797,39387.74,0,0
EL-1001,2024-09-01,725,35829.5,0,0
EL-1001,2024-10-01,656,32419.52,0,0
EL-1001,2024-11-01,549,27131.58,0,0
EL-1001,2024-12-01,485,23968.7,0,0
EL-1001,2025-01-01,518,25599.56,0,0
EL-1001,2025-02-01,277,13689.34,0,1
EL-1001,2025-03-01,750,37065,0,0
EL-1001,2025-04-01,850,42007,0,0
EL-1001,2025-05-01,1372,67804.24,1,0
EL-1001,2025-06-01,964,47640.88,0,0
EL-1001,2025-07-01,910,44972.2,0,0
EL-1001,2025-08-01,855,42254.1,0,0
EL-1001,2025-09-01,853,42155.26,0,0
EL-1001,2025-10-01,750,37065,0,0
EL-1001,2025-11-01,879,43440.18,1,0
EL-1001,2025-12-01,587,29009.54,0,0
EL-1001,2026-01-01,658,32518.36,0,0
EL-1001,2026-02-01,747,36916.74,0,0
EL-1001,2026-03-01,1269,62713.98,1,0
EL-1001,2026-04-01,1004,49617.68,0,0
EL-1001,2026-05-01,1040,51396.8,0,0
EL-1001,2026-06-01,1088,53768.96,0,0
EL-1002,2023-06-01,754,83309.46,0,0
EL-1002,2023-07-01,665,73475.85,0,0
EL-1002,2023-08-01,695,76790.55,0,0
EL-1002,2023-09-01,622,68724.78,0,0
EL-1002,2023-10-01,730,80657.7,1,0
EL-1002,2023-11-01,411,45411.39,0,0
EL-1002,2023-12-01,549,60659.01,1,0
EL-1002,2024-01-01,457,50493.93,0,0
EL-1002,2024-02-01,536,59222.64,0,0
EL-1002,2024-03-01,681,75243.69,0,0
EL-1002,2024-04-01,791,87397.59,0,0
EL-1002,2024-05-01,845,93364.05,0,0
EL-1002,2024-06-01,871,96236.79,0,0
EL-1002,2024-07-01,1132,125074.68,1,0
EL-1002,2024-08-01,804,88833.96,0,0
EL-1002,2024-09-01,736,81320.64,0,0
EL-1002,2024-10-01,625,69056.25,0,0
EL-1002,2024-11-01,532,58780.68,0,0
EL-1002,2024-12-01,487,53808.63,0,0
EL-1002,2025-01-01,829,91596.21,1,0
EL-1002,2025-02-01,691,76348.59,0,0
EL-1002,2025-03-01,772,85298.28,0,0
EL-1002,2025-04-01,874,96568.26,0,0
EL-1002,2025-05-01,927,102424.23,0,0
EL-1002,2025-06-01,972,107396.28,0,0
EL-1002,2025-07-01,884,97673.16,0,0
EL-1002,2025-08-01,881,97341.69,0,0
EL-1002,2025-09-01,839,92701.11,0,0
EL-1002,2025-10-01,1092,120655.08,1,0
EL-1002,2025-11-01,615,67951.35,0,0
EL-1002,2025-12-01,812,89717.88,1,0
EL-1002,2026-01-01,657,72591.93,0,0
EL-1002,2026-02-01,799,88281.51,0,0
EL-1002,2026-03-01,1226,135460.74,1,0
EL-1002,2026-04-01,1377,152144.73,1,0
EL-1002,2026-05-01,1463,161646.87,1,0
EL-1002,2026-06-01,1066,117782.34,0,0
EL-1003,2023-06-01,760,51535.6,0,0
EL-1003,2023-07-01,671,45500.51,0,0
EL-1003,2023-08-01,697,47263.57,0,0
EL-1003,2023-09-01,601,40753.81,0,0
EL-1003,2023-10-01,510,34583.1,0,0
EL-1003,2023-11-01,446,30243.26,0,0
EL-1003,2023-12-01,510,34583.1,1,0
EL-1003,2024-01-01,540,36617.4,1,0
EL-1003,2024-02-01,562,38109.22,0,0
EL-1003,2024-03-01,657,44551.17,0,0
EL-1003,2024-04-01,758,51399.98,0,0
EL-1003,2024-05-01,891,60418.71,0,0
EL-1003,2024-06-01,856,58045.36,0,0
EL-1003,2024-07-01,804,54519.24,0,0
EL-1003,2024-08-01,793,53773.33,0,0
EL-1003,2024-09-01,687,46585.47,0,0
EL-1003,2024-10-01,651,44144.31,0,0
EL-1003,2024-11-01,498,33769.38,0,0
EL-1003,2024-12-01,533,36142.73,0,0
EL-1003,2025-01-01,567,38448.27,0,0
EL-1003,2025-02-01,392,26581.52,1,1
EL-1003,2025-03-01,804,54519.24,0,0
EL-1003,2025-04-01,909,61639.29,0,0
EL-1003,2025-05-01,398,26988.38,0,1
EL-1003,2025-06-01,1006,68216.86,0,0
EL-1003,2025-07-01,880,59672.8,0,0
EL-1003,2025-08-01,863,58520.03,0,0
EL-1003,2025-09-01,853,57841.93,0,0
EL-1003,2025-10-01,1070,72556.7,1,0
EL-1003,2025-11-01,627,42516.87,0,0
EL-1003,2025-12-01,799,54180.19,1,0
EL-1003,2026-01-01,636,43127.16,0,0
EL-1003,2026-02-01,812,55061.72,0,0
EL-1003,2026-03-01,854,57909.74,0,0
EL-1003,2026-04-01,975,66114.75,0,0
EL-1003,2026-05-01,1073,72760.13,0,0
EL-1003,2026-06-01,1110,75269.1,0,0
EL-1004,2023-06-01,773,120162.85,0,0
EL-1004,2023-07-01,702,109125.9,0,0
EL-1004,2023-08-01,651,101197.95,0,0
EL-1004,2023-09-01,615,95601.75,0,0
EL-1004,2023-10-01,531,82543.95,0,0
EL-1004,2023-11-01,402,62490.9,0,0
EL-1004,2023-12-01,410,63734.5,0,0
EL-1004,2024-01-01,443,68864.35,0,0
EL-1004,2024-02-01,238,36997.1,0,1
EL-1004,2024-03-01,678,105395.1,0,0
EL-1004,2024-04-01,808,125603.6,0,0
EL-1004,2024-05-01,883,137262.35,0,0
EL-1004,2024-06-01,840,130578,0,0
EL-1004,2024-07-01,802,124670.9,0,0
EL-1004,2024-08-01,744,115654.8,0,0
EL-1004,2024-09-01,733,113944.85,0,0
EL-1004,2024-10-01,853,132598.85,1,0
EL-1004,2024-11-01,499,77569.55,0,0
EL-1004,2024-12-01,507,78813.15,0,0
EL-1004,2025-01-01,538,83632.1,0,0
EL-1004,2025-02-01,703,109281.35,0,0
EL-1004,2025-03-01,761,118297.45,0,0
EL-1004,2025-04-01,870,135241.5,0,0
EL-1004,2025-05-01,1000,155450,0,0
EL-1004,2025-06-01,952,147988.4,0,0
EL-1004,2025-07-01,1328,206437.6,1,0
EL-1004,2025-08-01,1131,175813.95,1,0
EL-1004,2025-09-01,853,132598.85,0,0
EL-1004,2025-10-01,711,110524.95,0,0
EL-1004,2025-11-01,637,99021.65,0,0
EL-1004,2025-12-01,594,92337.3,0,0
EL-1004,2026-01-01,632,98244.4,0,0
EL-1004,2026-02-01,754,117209.3,0,0
EL-1004,2026-03-01,843,131044.35,0,0
EL-1004,2026-04-01,996,154828.2,0,0
EL-1004,2026-05-01,1080,167886,0,0
EL-1004,2026-06-01,1079,167730.55,0,0
EL-1005,2023-06-01,788,55782.52,0,0
EL-1005,2023-07-01,692,48986.68,0,0
EL-1005,2023-08-01,692,48986.68,0,0
EL-1005,2023-09-01,589,41695.31,0,0
EL-1005,2023-10-01,526,37235.54,0,0
EL-1005,2023-11-01,422,29873.38,0,0
EL-1005,2023-12-01,404,28599.16,0,0
EL-1005,2024-01-01,415,29377.85,0,0
EL-1005,2024-02-01,549,38863.71,0,0
EL-1005,2024-03-01,664,47004.56,0,0
EL-1005,2024-04-01,778,55074.62,0,0
EL-1005,2024-05-01,878,62153.62,0,0
EL-1005,2024-06-01,842,59605.18,0,0
EL-1005,2024-07-01,835,59109.65,0,0
EL-1005,2024-08-01,790,55924.1,0,0
EL-1005,2024-09-01,753,53304.87,0,0
EL-1005,2024-10-01,888,62861.52,1,0
EL-1005,2024-11-01,544,38509.76,0,0
EL-1005,2024-12-01,467,33058.93,0,0
EL-1005,2025-01-01,560,39642.4,0,0
EL-1005,2025-02-01,709,50190.11,0,0
EL-1005,2025-03-01,788,55782.52,0,0
EL-1005,2025-04-01,892,63144.68,0,0
EL-1005,2025-05-01,995,70436.05,0,0
EL-1005,2025-06-01,979,69303.41,0,0
EL-1005,2025-07-01,928,65693.12,0,0
EL-1005,2025-08-01,867,61374.93,0,0
EL-1005,2025-09-01,845,59817.55,0,0
EL-1005,2025-10-01,1044,73904.76,1,0
EL-1005,2025-11-01,609,43111.11,0,0
EL-1005,2025-12-01,789,55853.31,1,0
EL-1005,2026-01-01,647,45801.13,0,0
EL-1005,2026-02-01,765,54154.35,0,0
EL-1005,2026-03-01,907,64206.53,0,0
EL-1005,2026-04-01,1000,70790,0,0
EL-1005,2026-05-01,1382,97831.78,1,0
EL-1005,2026-06-01,1092,77302.68,0,0
EL-1006,2023-06-01,800,65720,0,0
EL-1006,2023-07-01,731,60051.65,0,0
EL-1006,2023-08-01,695,57094.25,0,0
EL-1006,2023-09-01,631,51836.65,0,0
EL-1006,2023-10-01,511,41978.65,0,0
EL-1006,2023-11-01,408,33517.2,0,0
EL-1006,2023-12-01,495,40664.25,1,0
EL-1006,2024-01-01,421,34585.15,0,0
EL-1006,2024-02-01,572,46989.8,0,0
EL-1006,2024-03-01,672,55204.8,0,0
EL-1006,2024-04-01,784,64405.6,0,0
EL-1006,2024-05-01,1120,92008,1,0
EL-1006,2024-06-01,859,70566.85,0,0
EL-1006,2024-07-01,781,64159.15,0,0
EL-1006,2024-08-01,750,61612.5,0,0
EL-1006,2024-09-01,743,61037.45,0,0
EL-1006,2024-10-01,670,55040.5,0,0
EL-1006,2024-11-01,550,45182.5,0,0
EL-1006,2024-12-01,505,41485.75,0,0
EL-1006,2025-01-01,520,42718,0,0
EL-1006,2025-02-01,676,55533.4,0,0
EL-1006,2025-03-01,761,62516.15,0,0
EL-1006,2025-04-01,916,75249.4,0,0
EL-1006,2025-05-01,938,77056.7,0,0
EL-1006,2025-06-01,994,81657.1,0,0
EL-1006,2025-07-01,892,73277.8,0,0
EL-1006,2025-08-01,886,72784.9,0,0
EL-1006,2025-09-01,337,27684.55,0,1
EL-1006,2025-10-01,766,62926.9,0,0
EL-1006,2025-11-01,663,54465.45,0,0
EL-1006,2025-12-01,332,27273.8,1,1
EL-1006,2026-01-01,681,55944.15,0,0
EL-1006,2026-02-01,1034,84943.1,1,0
EL-1006,2026-03-01,858,70484.7,0,0
EL-1006,2026-04-01,1009,82889.35,0,0
EL-1006,2026-05-01,1086,89214.9,0,0
EL-1006,2026-06-01,1328,109095.2,1,0
EL-1007,2023-06-01,741,168347.79,0,0
EL-1007,2023-07-01,706,160396.14,0,0
EL-1007,2023-08-01,685,155625.15,0,0
EL-1007,2023-09-01,615,139721.85,0,0
EL-1007,2023-10-01,531,120637.89,0,0
EL-1007,2023-11-01,400,90876,0,0
EL-1007,2023-12-01,572,129952.68,1,0
EL-1007,2024-01-01,166,37713.54,0,1
EL-1007,2024-02-01,578,131315.82,0,0
